1-(A_R/A_I)^2, (A_T/A_I)^2
0.5554609059382818, 2.775315344245539
0.5971194967725377, 2.6693145432282703
0.6320146103642219, 2.5786188056223076
0.6616316820820487, 2.4993425194724104
0.6872260523286653, 2.428751780307531
0.709996586606824, 2.3651113561259987
0.7298876660148573, 2.3071954529777026
0.7479531584666689, 2.25382790634491
0.7643563987096649, 2.204695061050728
0.7790359318468603, 2.159328679100192
0.7925085046982301, 2.1166761220589763
0.8048673852076735, 2.076888183874833
0.816249286749348, 2.0395441404551256
0.8268133350427068, 2.0041081420865923
0.8364511133163122, 1.9706381936622397
0.8454766499230196, 1.9389429456598104
0.8540265344838084, 1.9085661203922517
0.8618543427572752, 1.8795876049174733
0.8692224235093109, 1.8520224790524353
0.8762390734048, 1.8258008969471367
0.882627609607109, 1.8007915389340265
0.8888195549768753, 1.776819122590895
0.8944996064411206, 1.7533963429825052
0.9000187398610064, 1.7308436668814902
0.9050554821428201, 1.709794965981298
0.9099801652235319, 1.6890441017607347
0.9144973939917832, 1.669046950425504
0.9188240443254908, 1.6492850222354265
0.923005047362201, 1.6307846844682679
0.9268509833960711, 1.612861247925818
0.9305421730134998, 1.5950789209689729
0.9340748601246405, 1.577763575841066
0.9374483605855775, 1.5617287115674503
0.9405910139658346, 1.5455887035717228
0.943605155362915, 1.5299329027661563
0.9464959870578612, 1.514758006859606
0.949268353008278, 1.500049307433443
0.9518726780162048, 1.4857826458632672
0.9543331976177807, 1.4719260633253142
0.9566974496375903, 1.4584411950232967
0.9589595733388937, 1.444751097754535
0.9611256604375076, 1.4320824069777764
0.9631834231572035, 1.4190218085232198
0.965168338157803, 1.4070929372479326
0.9670407955084642, 1.3947055852251637
0.9688261413869609, 1.3833995082415698
0.9705320837686194, 1.3716794305748472
0.9721604325469568, 1.3602001336884133
0.973699225660097, 1.3497551974129391
0.9751836951174793, 1.3388955504244686